title,release_date,vote_count,vote_average,return
Toy Story,1995-10-30,5415.0,7.7,12.4518011
Jumanji,1995-12-15,2413.0,6.9,4.0430346
Grumpier Old Men,1995-12-22,92.0,6.5,0.0
Waiting to Exhale,1995-12-22,34.0,6.1,5.09075975
Father of the Bride Part II,1995-02-10,173.0,5.7,76578911.0
Heat,1995-12-15,1886.0,7.7,3.123946966666667
Sabrina,1995-12-15,141.0,6.2,0.0
Tom and Huck,1995-12-22,45.0,5.4,0.0
Sudden Death,1995-12-22,174.0,5.5,1.8385763142857143
GoldenEye,1995-11-16,1194.0,6.6,6.072310931034483
The American President,1995-11-17,199.0,6.5,1.739991870967742
Dracula: Dead and Loving It,1995-12-22,210.0,5.7,0.0
Balto,1995-12-22,423.0,7.1,11348324.0
Nixon,1995-12-22,72.0,7.1,0.31094920454545455
Cutthroat Island,1995-12-22,137.0,5.7,0.10221757142857144
Casino,1995-11-22,1343.0,7.8,2.2329302884615383
Sense and Sensibility,1995-12-13,364.0,7.2,8.181818181818182
Four Rooms,1995-12-09,539.0,6.5,1.075
Ace Ventura: When Nature Calls,1995-11-10,1128.0,6.1,7.079517766666667
Money Train,1995-11-21,224.0,5.4,0.59051855
Get Shorty,1995-10-20,305.0,6.4,3.805012297520661
Copycat,1995-10-27,199.0,6.5,0.0
Assassins,1995-10-06,394.0,6.0,0.60606144
Powder,1995-10-27,143.0,6.3,0.0
Leaving Las Vegas,1995-10-27,365.0,7.1,13.833333333333334
Othello,1995-12-15,33.0,7.0,0.0
Now and Then,1995-10-20,91.0,6.6,2.283333333333333
Persuasion,1995-09-27,36.0,7.4,0.0
The City of Lost Children,1995-05-16,308.0,7.6,0.0965895
Shanghai Triad,1995-04-30,17.0,6.5,0.0
Dangerous Minds,1995-08-11,249.0,6.4,180000000.0
Twelve Monkeys,1995-12-29,2470.0,7.4,5.7233898305084745
Wings of Courage,1996-09-18,4.0,6.8,0.0
Babe,1995-07-18,756.0,6.0,8.471163666666667
Carrington,1995-11-08,16.0,6.4,0.0
Dead Man Walking,1995-12-29,350.0,7.3,3.5785122727272727
Across the Sea of Time,1995-10-20,2.0,3.5,0.0
It Takes Two,1995-11-17,149.0,6.1,0.0
Clueless,1995-07-19,828.0,6.9,0.0
"Cry, the Beloved Country",1995-12-15,13.0,6.7,676525.0
Richard III,1995-12-29,50.0,6.9,0.0
Dead Presidents,1995-10-06,80.0,6.6,0.0
Restoration,1995-12-29,30.0,6.3,0.0
Mortal Kombat,1995-08-18,452.0,5.4,6.788662222222222
To Die For,1995-05-20,177.0,6.7,1.0642257
How To Make An American Quilt,1995-10-06,38.0,6.5,2.357413
Se7en,1995-09-22,5915.0,8.1,9.918541181818181
Pocahontas,1995-06-14,1509.0,6.7,6.292359509090909
When Night Is Falling,1995-05-05,10.0,5.9,0.0
The Usual Suspects,1995-07-19,3334.0,8.1,3.890261333333333
Guardian Angel,1994-11-22,3.0,6.3,0.0
Mighty Aphrodite,1995-09-13,145.0,6.7,0.44666666666666666
Lamerica,1994-01-01,11.0,7.7,0.0
The Big Green,1995-09-29,41.0,5.2,0.0
Georgia,1995-05-19,15.0,6.1,0.0
Kids of the Round Table,1997-07-08,1.0,3.0,0.0
